# tag,kind -- 细分分类（大类/子类），未列出 = 未分类；改规则请改 _dev_tests/_gen_tag_kind.py 重跑
amane_kanata_(cosplay),style/medium
amano_yoshitaka_(style),style/medium
amanogawa_high_school_uniform,clothing/whole
amaryllis_(flower),scene/nature
amate_yuzuriha_(cosplay),style/medium
amatsukaze_(kancolle)_(cosplay),style/medium
amazake_(drink),object/food
amazigh_clothes,clothing/other
amazing_background,scene/background
amber_(genshin_impact)_(cosplay),style/medium
amber_eyes,person/eyes
amber_sclera,person/eyes
ambient_figure,person/count
ambiguous_fingering_female,person/count
ambiguous_fingering_male,person/count
ambiguous_focus,camera/framing
ambiguous_human,person/count
ambiguous_humanoid,person/count
ambiguous_on_human,person/count
ambiguous_on_humanoid,person/count
ambiguous_oral,sex/act
ambiguous_penetrating_female,person/count
ambiguous_penetrating_male,person/count
ambiguous_penetration,sex/act
ambiguous_pov,camera/angle
ambiguous_rimming_female,person/count
ambiguous_rimming_male,person/count
ambiguous_text,style/quality
ame_chan_(needy_girl_overdose)_(cosplay),style/medium
ame_no_kisaki_academy_school_uniform,clothing/whole
amen_pose_(meme),expression/pose
american_flag,object/tool
american_flag_background,scene/background
american_flag_bikini,clothing/whole
american_flag_clothing,clothing/other
american_flag_dress,clothing/whole
american_flag_legwear,clothing/legwear
american_flag_neckwear,object/tool
american_flag_panties,object/tool
american_flag_pants,clothing/bottom
american_flag_print,object/tool
american_flag_shirt,clothing/top
american_flag_skirt,clothing/bottom
american_flag_swimsuit,clothing/whole
american_flag_tattoo,person/body
american_football_helmet,clothing/head
american_football_uniform,clothing/whole
american_school_uniform,clothing/whole
amestris_military_uniform,clothing/whole
amethyst_necklace,clothing/accessory
amiibo_card,object/tool
amiya_(arknights)_(cosplay),style/medium
ammo_belt,clothing/accessory
ammo_box,object/tool
ammunition_backpack,clothing/accessory
ammunition_belt,clothing/accessory
ammunition_box,object/tool
ammunition_focus,camera/framing
ammunition_pouch,clothing/accessory
among_us_eyes_(meme),person/eyes
amos'_bow_(genshin_impact),clothing/head
amputated_leg,person/body
amputated_legs,person/body
amusement_park,scene/outdoor
amy_rose_(cosplay),style/medium
anal,sex/body
anal_access,sex/body
anal_ball_wear,sex/body
anal_bead_pull,sex/body
anal_beads,sex/body
anal_beads_in_ass,sex/body
anal_beads_in_mouth,sex/body
anal_beads_in_pussy,sex/body
anal_beads_in_urethra,sex/body
anal_beads_in_vagina,sex/body
anal_birth,sex/body
anal_bone_disposal,sex/body
anal_canal,sex/body
anal_cross_section,sex/body
anal_destruction,sex/body
anal_egg_insertion,sex/act
anal_fingering,sex/body
anal_fisting,sex/body
anal_fluid,sex/body
anal_fluids,sex/body
anal_fluids_on_food,sex/body
anal_fluids_on_object,sex/body
anal_foot_gulp,sex/body
anal_full_nelson,sex/body
anal_glands,sex/body
anal_grip,sex/body
anal_hair,sex/body
anal_hand_gulp,sex/body
anal_head_gulp,sex/body
anal_hook,sex/body
anal_impalement,sex/body
anal_impregnation,sex/body
anal_inflation,sex/body
anal_invitation,sex/body
anal_juice_drip,sex/body
anal_juice_on_body,sex/body
anal_juice_on_butt,sex/body
anal_juice_on_dildo,sex/body
anal_juice_on_finger,sex/body
anal_juice_on_hand,sex/body
anal_juice_on_penis,sex/body
anal_juice_on_sex_toy,sex/act
anal_juice_splatter,sex/body
anal_juice_string,sex/body
anal_kiss,sex/body
anal_kiss_mark,sex/body
anal_knot_fucking,sex/body
anal_knotting,sex/body
anal_lips,sex/body
anal_masturbation,sex/act
anal_musk,sex/body
anal_object_insertion,sex/act
anal_only,sex/body
anal_orgasm,sex/act
anal_oviposition,sex/body
anal_penetration,sex/act
anal_piercing,sex/body
anal_pregnancy,sex/body
anal_prodding,sex/body
anal_prolapse,sex/body
anal_pull_out,sex/body
anal_request,sex/body
anal_ring,clothing/accessory
anal_sheath,sex/body
anal_squirt,sex/body
anal_squirting,sex/body
anal_storage,sex/body
anal_tail,sex/body
anal_threading,sex/body
anal_threesome,sex/body
anal_toy,sex/body
anal_training,sex/body
anal_tube,sex/body
anal_tugging,sex/body
anal_uterus,sex/body
anal_vaginal_orgasm,sex/act
anal_vore,sex/body
anal_wink,sex/body
analog_clock,object/tool
anamniotic_egg,object/food
anatid_penis,sex/body
anatomically_correct_anus,sex/body
anatomically_correct_balls,object/toy
anatomically_correct_penis,sex/body
anatomically_correct_pussy,sex/body
anatomically_correct_vulva,sex/body
anchor_choker,clothing/accessory
anchor_earrings,clothing/accessory
anchor_hair_ornament,clothing/head
anchor_hat_ornament,clothing/head
anchor_necklace,clothing/accessory
anchor_tattoo,person/body
anchovy_(girls_und_panzer)_(cosplay),style/medium
ancient_dragon_(elden_ring),clothing/accessory
ancient_egyptian_clothes,clothing/other
ancient_egyptian_hat,clothing/head
ancient_greek_clothes,clothing/other
ancillary_head,person/body
android_18_(cosplay),style/medium
andromorph/female,person/count
andromorph/male,person/count
andromorph_focus,camera/framing
andromorph_humanoid,person/count
andromorph_lactation,sex/act
andromorph_on_human,person/count
andromorph_penetrating_male,person/count
anemone_(flower),scene/nature
angel's_24_uniform_(blue_archive),clothing/whole
angel's_swimsuit_(idolmaster),clothing/whole
angel_(kof)_(cosplay),style/medium
angel_boy,person/count
angel_costume,clothing/whole
angel_day,scene/sky
angel_girl,person/count
angel_island,scene/nature
angel_leotard,clothing/whole
angel_wing_uniform,clothing/whole
angela_balzac_(cosplay),style/medium
angewomon_(cosplay),style/medium
angle,camera/angle
angle_view,camera/angle
anglerfish_boy,person/count
anglerfish_costume,clothing/whole
anglerfish_girl,person/count
angry,expression/face
angry_dog_noises_(meme),expression/face
angry_eyebrows,expression/face
angry_kiss,expression/face
animal_arms,person/body
animal_around_neck,person/body
animal_background,scene/background
animal_bag,clothing/accessory
animal_balloon,object/toy
animal_between_breasts,person/body
animal_collar,clothing/accessory
animal_costume,clothing/whole
animal_couple,person/count
animal_crossing_(style),style/medium
animal_dildo,sex/gear
animal_ear_balloon,person/body
animal_ear_fluff,person/body
animal_ear_footwear,clothing/footwear
animal_ear_hairband,clothing/head
animal_ear_headband,clothing/head
animal_ear_headphones,person/body
animal_ear_headwear,clothing/head
animal_ear_helmet,clothing/head
animal_ear_hood,clothing/head
animal_ear_legwear,clothing/legwear
animal_ear_piercing,person/body
animal_earrings,clothing/accessory
animal_ears,person/body
animal_ears_helmet,clothing/head
animal_feet,person/body
animal_focus,camera/framing
animal_genitalia_on_humanoid,person/count
animal_hair,person/hair
animal_hair_ornament,clothing/head
animal_hairband,clothing/head
animal_hands,person/body
animal_hat,clothing/head
animal_helmet,clothing/head
animal_hood,clothing/head
animal_hoodie,clothing/top
animal_hug,expression/action
animal_in_clothes,clothing/other
animal_in_mouth,person/body
animal_insertion,sex/act
animal_legs,person/body
animal_mask,clothing/head
animal_nose,person/body
animal_on_arm,person/body
animal_on_ass,person/body
animal_on_back,person/body
animal_on_chest,person/body
animal_on_face,person/body
animal_on_finger,person/body
animal_on_hand,person/body
animal_on_head,person/body
animal_on_leg,person/body
animal_on_shoulder,person/body
animal_on_stomach,person/body
animal_on_weapon,object/weapon
animal_penis,sex/body
animal_pillow,object/other
animal_pool_toy,scene/outdoor
animal_pose,expression/pose
animal_pov,camera/angle
animal_print_bikini,clothing/whole
animal_print_thigh_highs,person/body
animal_puppet,object/toy
animal_pussy,sex/body
animal_scarf,clothing/accessory
